bookID,title,author,rating,ratingsCount,reviewsCount,reviewerName,reviewerRatings,review
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.73,22,1,Charles G,3,
7,"The Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,4.73,26702,909,Jen Holman,5,"I do not own this spiffy box set of Harry Potter books, but no way was I going to sit down and input all 6 of them!! When we were in the UK on our honeymoon in the spring of 2000, Harry Potter fever was just hitting its stride there. Not long after that the books found their way to Canada and I fell in love with this series right from the first book. Again (I'm a broken record) great characters and time-old literary themes, as well as just being a very enjoyable read. I haven't gone to see the movies, because I don't want the characters in my mind replaced with British teen actors and Gary Oldman. (can't stand Gary Oldman.) Fantastic read for any age. Some of my all-time favourite literary characters are from this series, like Dumbledore and Sirius Black. The books get heavier (literally and metaphorically) as the series progresses. The first book is the most child-like, shorter and lighter fare. The last book is downright philosophical and practically qualifies as a doorstop it's so weighty. The HP series is kind of like literary comfort food around here, if there's nothing else to read we'll just grab one and dive in. A definite must-read!"
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.44,4911929,77741,Lora,5,"I'm going to keep this brief since there isn't much to say that hasn't already been said. *clears throat*I think the reason I waited so long to read this series is because I just couldn't imagine myself enjoying reading about an eleven-year-old boy and his adventures at a school of wizardry. I thought it would be too juvenile for my taste. I was wrong, of course.I can honestly say that I loved every minute of this. It's a spectacular little romp with funny, courageous, and endearing characters that you can't help but love.It has talking chess pieces, singing hats, a giant three-headed dog named Fluffy, a hilarious giant with a dragon fetish, a master wizard that's just a little bit crazy, mail carrier owls, goblins running a bank, unicorns, centaurs(!), trolls . . . and probably much more that I'm forgetting. And then there's the lead characters: Hermione, the young scholar who starts out prim and up-tight but soon becomes a true friend; Ron, the boy who has little money but who has an abundance of family and loyalty to his friends to make up for it; and then there's Harry, the boy who starts out sleeping in a closet and ends up being a hero. Harry is kind to those that deserve it, fearless when it counts the most, and wonderfully intelligent. What's not to love? In regards to the ending: (view spoiler)[I feel silly saying this about a middle grade novel, but I didn't suspect Quirrell a bit! If there were hints that he was the true culprit and not Snape, I obviously missed them. (hide spoiler)]FAVORITE QUOTE: ""But from that moment on, Hermione Granger became their friend. There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.""Now, if you'll excuse me, I'm off to start Harry Potter and the Chamber of Secrets.*******************************************************My reviews of other titles in this series:Harry Potter and the Chamber of Secrets"
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.54,1810404,28053,Cait (Paper Fury),5,"""Read Harry Potter!"" they said. ""It'll be fun!"" they said. ""Our childhood was built on Harry Potter!"" they said.WELL YOUR CHILDHOODS WERE ALL HORRIBLE. OMG WHAT IS THIS BOOK? WHAT IS THIS MESS I'M IN?? Excuse me, but that large salty lake where my life used to be is my tears. Yes, yes, this means I loved it. But SERIOUSLY. Nooooot okay. At the end there, especially, I couldn't put the audio down so I was wandering about my house in a blind daze listening instead.And because every human and their fluffy poodle has probably sensibly reviewed this book, BAH. I'm just going to make a list of things I loved and things I didn't. My Intense And Passionate LOVES:• Harry + Ginny = yes. I was dubious at first. Like I think romance is NOT JKR's strong point...plus when she gets to a romantic scene she ends the chapter. HHAHAH. ADORABLE. (Not that I minded, I just...I think she's not good at romance.) But omg, there was that moment after the Quidditch match??? YUP. You know what I'm talking about. Excuse me, my heart just ran around in circles screaming and shipping.• Hermione: I adore her, but...I gotta admit, she was a little bit too stuffy. BUT I STILL LOVE HER. I love her love for learning.• I also adore how sensible Ginny is. • Fred and George's joke shop gives life. Also death, probs, but liiiiife.• I am utterly in LOVE with the whole concept of Hogwarts. I mean, I think it's stupid that they have to write with a quill and ink (can't they just enchant the quill to write for them?) and they seem to get an excessive amount of homework, BUT. It's all so vivid and detailed and it literally feels like Hogwarts is A REAL PLACE. I totally get why people wail about their letters going missing. • Speaking of detail...me likey. I always felt inside the story.• Plus the audio book (narrated by Jim Dale) is GREAT. I totally recommend it. I think Hermione's voice had a tendency to sound like an insufferable goat, but I got used to it. Harry's voice was perfection. • I also particularly liked Harry in this book. I JUST LOVE HARRY. <3 He's snarky, but he's lost some of the angriness from bk 5. He's got snarky quips at the ready, but he's also intensely...good. Like he's just a really GOOD chap, who makes bad decisions but really means well. ZOMG. *flails about* He was definitely my favourite character in this book. • ALSO DUMBLEDORE WAS GREAT. I love Dumbledore and how he's always polite and kind and smiley. (view spoiler)[ CAN WE TALK A MINUT EHOW I'M NOT OKAY THAT HE'S DEAD?!??!?!? LIKE WHAT EVEN THE FLYING HECK OF BROOMS NEST TAILS. THAT DOESN'T MAKE SENSE. BUT IT SHOULDN'T. BECAUSE NOTHING MAKES SENSE. Dumbledore. no. Come baaaaaaaack. *breaks down into a mess* I am also intensely furious that his weakening himself to get the horcrux was useless. MAD. Okay? I AM MAD. Character deaths where they failed are the worst there are.  (hide spoiler)]My Intense and Passionate LOATHES:(Hhahahha...you ready for this?)• Okay so, question: WHY do they sometimes go places and buy food...and sometimes they just magic it? Like Mrs. Weasely magics onion soup out of nothing for Harry. But in the next chapter, Harry and Ron are peeling sprouts. LIKE WUT. This makes no sense to me. • Why didn't Dumbledore pour the evil potion on the ground instead of drinking it? Just wannna know...• How the FLYING FRIKKIN BROOMSTICKS can anyone possibly convince me Snape is still on the good side? Because I don't even care. He can go abra kadabra himself to Timbuktu and DIE THERE THANKS. There is no repentance after this. I don't even care what the ""reason"" is in book 7, but Harry: you are an idiot to name your kid after Snape. • I HOPE SNAPE DIES.• DID I MENTION MY HATE FOR SNAPE YET???????• Oh and another thing...I am so angry at Snape arghhhqqwqq.• Okay. Good now. I'm calm. Thank you. • HAHHAHHAHAHTE SNAPE.• Yes, I truly am calm this time. I'm good.• So. I also am fairly annoyed about Voldermort's (Tom Riddle) backstory. Because he read like he was straight out of a psychopath text book...which I found monstrously unimaginative. Attractive, calm, subtle bully, kleptomaniac, limited emotional reach, charmer, smooth...blah blah. Yes. I can just read a book about psychopaths and that's Voldey's description. I wish there'd been a little more ingenuity in there.• I really also dislike Ron. I KNOW. Travesty. But he's a bully! He was bullying first year's the whole time...turfing tem off chairs, scaring them, bossing them around, taking stuff off them in the name of ""prefect"". Like how is that good?? How is that okay??? I will not forgive Ron for all this. And also the fact that he's a downright BRUTE to Hermione. How can I ship them when he's so rude and demeaning to her?? I DON'T. Hermione deserves better. And I don't buy the ""She completes him by sorting him out"" because I think all humans should take responsibility for their actions. Hermione shouldn't HAVE to force Ron into a better person and be his conscious. AGH. • Not shipping that. ^^• Okay, I'm done. But just *whispers* I hate hate hate Snape. So basically YES, I had a fantastic time with this book. I loved the audio. I loved the story. I loved Harry and the world just feels so big and rich and visual. I get the intense fandom for this I DO GET IT. After being so angry and 1000% done in with book 3, I can successfully say I can't WAIT to read the last book now. And then watch all the movies. And then I'll finally be caught up, omg. Only took me like 10 years."
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.47,1862749,29308,Diane ϟ [ Lestrange ],5,
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.38,1936698,35055,Zoë,5,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.53,2000827,37005,Inge,5,
8053,Charlie Oink (Easy Peasy People),Roger Hargreaves,4.33,3,0,Ashton,5,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.53,1897821,31817,Zoë,5,
9643,"My Country Right or Left: 1940-1943 (The Collected Essays, Journalism & Letters, Vol. 2)",George Orwell,4.3,445,24,Rosa,4,
